"category","id","kabupaten","kecamatan","kelurahan","nama_tempat","alamat","daya_tampung","koordinator","no_hp","dokumen","keterangan","lat","lon","created_at","updated_at","deleted_at"
"Dalam Observasi","20","KAB. PONOROGO","PONOROGO","Bangunsari",""," ","","","","","Dirapatkan","-7.8789166","111.4656572","0000-00-00 00:00:00","2020-04-10 12:38:38","0000-00-00 00:00:00"
"Dalam Observasi","21","KAB. PONOROGO","PONOROGO","Banyudono",""," ","","","","","Dirapatkan","-7.8721541","111.4572239","0000-00-00 00:00:00","2020-04-10 12:39:21","0000-00-00 00:00:00"
"Dalam Observasi","22","KAB. PONOROGO","PONOROGO","Pinggirsari",""," ","","","","","Dirapatkan","-7.8612939","111.4472681","0000-00-00 00:00:00","2020-04-10 12:42:04","0000-00-00 00:00:00"
"Dalam Observasi","23","KAB. PONOROGO","PONOROGO","Kepatihan",""," ","","","","","Dirapatkan","-7.8845072","111.4534252","0000-00-00 00:00:00","2020-04-10 13:23:51","0000-00-00 00:00:00"
"Dalam Observasi","24","KAB. PONOROGO","PONOROGO","Brotonegaran",""," ","","","","","Dirapatkan","-7.8791637","111.4430588","0000-00-00 00:00:00","2020-04-10 13:32:00","0000-00-00 00:00:00"
"Dalam Observasi","25","KAB. PONOROGO","PONOROGO","Pakunden",""," ","","","","","Dirapatkan","-7.8811564","111.4497392","0000-00-00 00:00:00","2020-04-10 12:28:24","0000-00-00 00:00:00"
"Dalam Observasi","26","KAB. PONOROGO","PONOROGO","Surodikraman",""," ","","","","","Dirapatkan","-7.8795962","111.4616287","0000-00-00 00:00:00","2020-04-10 14:56:54","0000-00-00 00:00:00"
"Dalam Observasi","27","KAB. PONOROGO","PONOROGO","Paju",""," ","","","","","Dirapatkan","-7.8802657","111.4426317","0000-00-00 00:00:00","2020-04-10 15:02:21","0000-00-00 00:00:00"
"Dalam Observasi","28","KAB. PONOROGO","PONOROGO","Nologaten",""," ","","","","","Dirapatkan","-7.8610572","111.4666558","0000-00-00 00:00:00","2020-04-10 15:04:55","0000-00-00 00:00:00"
"Dalam Observasi","29","KAB. PONOROGO","PONOROGO","Keniten",""," ","","","","","Dirapatkan","-7.8468826","111.4640757","0000-00-00 00:00:00","2020-04-10 15:09:07","0000-00-00 00:00:00"
"Dalam Observasi","30","KAB. PONOROGO","PONOROGO","Jingglong",""," ","","","","","Dirapatkan","-7.8557396","111.4485977","0000-00-00 00:00:00","2020-04-10 15:15:06","0000-00-00 00:00:00"
"Dalam Observasi","31","KAB. PONOROGO","PONOROGO","Tambakbayan",""," ","","","","","Dirapatkan","-7.8680776","111.4556577","0000-00-00 00:00:00","2020-04-10 15:54:27","0000-00-00 00:00:00"
"Dalam Observasi","32","KAB. PONOROGO","PONOROGO","Tonatan",""," ","","","","","Dirapatkan","-7.8716357"," 111.4772377","0000-00-00 00:00:00","2020-04-10 15:59:05","0000-00-00 00:00:00"
"Dalam Observasi","33","KAB. PONOROGO","JENANGAN","Singosaren","Balai Desa","Kel. Singosaren ","8 Orang","Bidan Desa","","","","-7.8553258","  111.4974818","0000-00-00 00:00:00","2020-04-10 16:11:48","0000-00-00 00:00:00"
"Dalam Observasi","34","KAB. PONOROGO","JENANGAN","jenangan",""," ","","","","","Dirapatkan","-7,8553364","111,5018592","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","35","KAB. PONOROGO","JENANGAN","Plalangan",""," ","","","","","Dirapatkan","-7.8398871","111.5118523","0000-00-00 00:00:00","2020-04-10 17:11:21","0000-00-00 00:00:00"
"Dalam Observasi","36","KAB. PONOROGO","JENANGAN","Kemiri","Balai Desa","jln Pendowo no 67 Kemiri Kec. Jenangan ","15 Orang","Nurdiyanto Sp.No  ","082141817919","","","-7,8187409","111,5784157","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","37","KAB. PONOROGO","JENANGAN","Nglayang",""," ","","","","","Dirapatkan","-7.8322632","111.5532647","0000-00-00 00:00:00","2020-04-10 17:20:20","0000-00-00 00:00:00"
"Dalam Observasi","38","KAB. PONOROGO","JENANGAN","",""," ","","","","","Dirapatkan","-7.8230432","111.5545701","0000-00-00 00:00:00","2020-04-10 17:25:58","0000-00-00 00:00:00"
"Dalam Observasi","39","KAB. PONOROGO","JENANGAN","Pintu",""," ","","","","","Dirapatkan","-7.8177267","111.5085273","0000-00-00 00:00:00","2020-04-10 17:34:30","0000-00-00 00:00:00"
"Dalam Observasi","40","KAB. PONOROGO","JENANGAN","Jimbe",""," ","","","","","Dirapatkan","-7.8325372","111.5221912","0000-00-00 00:00:00","2020-04-10 17:58:53","0000-00-00 00:00:00"
"Dalam Observasi","41","KAB. PONOROGO","JENANGAN","",""," ","","","","","Dirapatkan","-7.8173387","111.4929464","0000-00-00 00:00:00","2020-04-10 18:03:44","0000-00-00 00:00:00"
"Dalam Observasi","42","KAB. PONOROGO","JENANGAN","Semanding",""," ","","","","","Dirapatkan","-7.8118166","111.5525347","0000-00-00 00:00:00","2020-04-10 18:10:30","0000-00-00 00:00:00"
"Dalam Observasi","43","KAB. PONOROGO","JENANGAN","Mrican",""," ","","","","","Dirapatkan","-7.8593037","111.5117303","0000-00-00 00:00:00","2020-04-10 18:14:20","0000-00-00 00:00:00"
"Dalam Observasi","44","KAB. PONOROGO","JENANGAN","Sraten","Balai Desa","Ds. Sraten Kec. Slahung ","","","","","","-7,8093874","111,5370786","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","45","KAB. PONOROGO","JENANGAN","Setono","Balai Kelurahan","jl gardian Dkh. Krajan Kel. Setono  ","10 orang","hendry No ","08133538608","","","-7,8317853","111,4983202","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","46","KAB. PONOROGO","JENANGAN","Panjeng",""," ","","","","","Dirapatkan","-7.8155442","111.5237917","0000-00-00 00:00:00","2020-04-10 18:22:34","0000-00-00 00:00:00"
"Dalam Observasi","47","KAB. PONOROGO","JENANGAN","Paringan",""," ","","","","","Dirapatkan","-7.8331921","111.5692294","0000-00-00 00:00:00","2020-04-10 18:25:26","0000-00-00 00:00:00"
"Dalam Observasi","48","KAB. PONOROGO","JENANGAN","Wates",""," ","","","","","Dirapatkan","-7.8224037","111.5826972","0000-00-00 00:00:00","2020-04-10 18:28:38","0000-00-00 00:00:00"
"Dalam Observasi","49","KAB. PONOROGO","JENANGAN","Sedah",""," ","","","","","Dirapatkan","-7.8068586"," 111.5168233","0000-00-00 00:00:00","2020-04-10 18:31:17","0000-00-00 00:00:00"
"Dalam Observasi","50","KAB. PONOROGO","JENANGAN","Babadan",""," ","","","","","Dirapatkan","-7.8161182","111.4910272","0000-00-00 00:00:00","2020-04-10 18:34:14","0000-00-00 00:00:00"
"Dalam Observasi","51","KAB. PONOROGO","JENANGAN","Kertosari",""," ","","","","","Dirapatkan","-7.8281923","111.4752202","0000-00-00 00:00:00","2020-04-10 18:36:54","0000-00-00 00:00:00"
"Dalam Observasi","52","KAB. PONOROGO","JENANGAN","Kadipaten","Polindes Kel. Kadipaten","Ling. Juranggandul  ","2 orang","Torik  ","089522079803","","Dirapatkan","-7,8408452","111,4862718","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","53","KAB. PONOROGO","JENANGAN","Patihan Wetan","","Kel. Kadipaten ","","","","","Dirapatkan","-7.8341901","111.4634248","0000-00-00 00:00:00","2020-04-10 18:44:10","0000-00-00 00:00:00"
"Dalam Observasi","54","KAB. PONOROGO","JENANGAN","Babadan",""," ","","","","","Dirapatkan","-7.8161182","111.4910272","0000-00-00 00:00:00","2020-04-10 19:31:38","0000-00-00 00:00:00"
"Dalam Observasi","55","KAB. PONOROGO","JENANGAN","Trisono",""," ","","","","","Dirapatkan","-7.8522124","111.4581233","0000-00-00 00:00:00","2020-04-10 19:36:01","0000-00-00 00:00:00"
"Dalam Observasi","56","KAB. PONOROGO","JENANGAN","Pondok",""," ","","","","","Dirapatkan","-7,8523341","111.4581233","0000-00-00 00:00:00","2020-04-10 19:33:13","0000-00-00 00:00:00"
"Dalam Observasi","57","KAB. PONOROGO","JENANGAN","Cekok",""," ","","","","","Dirapatkan","-7.8478431","111.4740122","0000-00-00 00:00:00","2020-04-10 19:39:37","0000-00-00 00:00:00"
"Dalam Observasi","58","KAB. PONOROGO","JENANGAN","Purwosari",""," ","","","","","Dirapatkan","-7.8014771","111.4843428","0000-00-00 00:00:00","2020-04-10 19:42:05","0000-00-00 00:00:00"
"Dalam Observasi","59","KAB. PONOROGO","JENANGAN","Sukosari","Portal Dsn. Tular","Dsn. Tular Ds. Sukosari  ","2 orang","Septiyan, Amd 085331166001","","","Dirapatkan","-7.7966477","111.4369153","0000-00-00 00:00:00","2020-04-10 19:45:30","0000-00-00 00:00:00"
"Dalam Observasi","60","KAB. PONOROGO","JENANGAN","Lembah","","Kec. Babadan ","","","","","Dirapatkan","-7.800321","111.4575284","0000-00-00 00:00:00","2020-04-10 19:47:47","0000-00-00 00:00:00"
"Dalam Observasi","61","KAB. PONOROGO","JENANGAN","Gupolo",""," ","","","","","Dirapatkan","-7.8344717","111.4684287","0000-00-00 00:00:00","2020-04-10 19:49:43","0000-00-00 00:00:00"
"Dalam Observasi","62","KAB. PONOROGO","JENANGAN","Polorejo",""," ","","","","","Dirapatkan","-7.8146836","111.4461393","0000-00-00 00:00:00","2020-04-10 19:51:38","0000-00-00 00:00:00"
"Dalam Observasi","63","KAB. PONOROGO","BABADAN","Japan",""," ","","","","","Dirapatkan","-7.8237655","111.4723041","0000-00-00 00:00:00","2020-04-10 20:03:50","0000-00-00 00:00:00"
"Dalam Observasi","64","KAB. PONOROGO","BABADAN","Ngunut",""," ","","","","","Dirapatkan","-7.8239417"," 111.4404603","0000-00-00 00:00:00","2020-04-10 20:05:25","0000-00-00 00:00:00"
"Dalam Observasi","65","KAB. PONOROGO","SIMAN","Ronowijayan","Balai Kelurahan","Kel Ronowijayan Kec. Siman ","6 Orang","Susi","081259963337","","","-7.8629747","   111.4817692","0000-00-00 00:00:00","2020-04-10 20:03:03","0000-00-00 00:00:00"
"Dalam Observasi","66","KAB. PONOROGO","SIMAN","Mangunsuman",""," ","","","","","Dirapatkan","-7.8638046","111.5031382","0000-00-00 00:00:00","2020-04-10 20:09:39","0000-00-00 00:00:00"
"Dalam Observasi","67","KAB. PONOROGO","SIMAN","Ronosentanan",""," ","","","","","Dirapatkan","-7.8750712","111.5093053","0000-00-00 00:00:00","2020-04-10 20:11:57","0000-00-00 00:00:00"
"Dalam Observasi","68","KAB. PONOROGO","SIMAN","Manuk",""," ","","","","","Dirapatkan","-7.8862237","111.4905142","0000-00-00 00:00:00","2020-04-10 20:13:39","0000-00-00 00:00:00"
"Dalam Observasi","69","KAB. PONOROGO","SIMAN","Jarak","Balai Desa","Jl. Jarak Kec. Siman ","7 Orang","Dwi Rahmawati","0856 3510 256","","","-7,8919616","111,4873325","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","70","KAB. PONOROGO","SIMAN","Siman",""," ","","","","","Dirapatkan","-7,8629853","111,4861466","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","71","KAB. PONOROGO","SIMAN","Pijeran",""," ","","","","","Dirapatkan","-7.8849551","111.5079253","0000-00-00 00:00:00","2020-04-10 20:15:55","0000-00-00 00:00:00"
"Dalam Observasi","72","KAB. PONOROGO","SIMAN","Sekaran",""," ","","","","","Dirapatkan","-7.8921177","111.4683557","0000-00-00 00:00:00","2020-04-10 20:17:33","0000-00-00 00:00:00"
"Dalam Observasi","73","KAB. PONOROGO","SIMAN","Ngabar",""," ","","","","","Dirapatkan","-7.9124247","111.4633052","0000-00-00 00:00:00","2020-04-10 20:21:45","0000-00-00 00:00:00"
"Dalam Observasi","74","KAB. PONOROGO","SIMAN","Beton",""," ","","","","","Dirapatkan","-7.8968312","111.4547033","0000-00-00 00:00:00","2020-04-10 20:23:54","0000-00-00 00:00:00"
"Dalam Observasi","75","KAB. PONOROGO","SIMAN","Demangan",""," ","","","","","Dirapatkan","-7.9134436","111.4647924","0000-00-00 00:00:00","2020-04-10 20:25:38","0000-00-00 00:00:00"
"Dalam Observasi","76","KAB. PONOROGO","SIMAN","Brahu",""," ","","","","","Dirapatkan","-7.8970697","111.4744187","0000-00-00 00:00:00","2020-04-10 20:28:03","0000-00-00 00:00:00"
"Dalam Observasi","77","KAB. PONOROGO","SIMAN","Sawuh",""," ","","","","","Dirapatkan","-7.8981921","111.4863872","0000-00-00 00:00:00","2020-04-10 20:29:49","0000-00-00 00:00:00"
"Dalam Observasi","78","KAB. PONOROGO","SIMAN","Tajug",""," ","","","","","Dirapatkan","-7.8701932","111.5041922","0000-00-00 00:00:00","2020-04-10 20:32:21","0000-00-00 00:00:00"
"Dalam Observasi","79","KAB. PONOROGO","SIMAN","Tranjang",""," ","","","","","Dirapatkan","-7.8914302","111.5042118","0000-00-00 00:00:00","2020-04-10 20:37:08","0000-00-00 00:00:00"
"Dalam Observasi","80","KAB. PONOROGO","SIMAN","Kepuhrubuh",""," ","","","","","Dirapatkan","-7.9078137","111.4881192","0000-00-00 00:00:00","2020-04-10 20:40:44","0000-00-00 00:00:00"
"Dalam Observasi","81","KAB. PONOROGO","SIMAN","Patihan Kidul",""," ","","","","","Dirapatkan","-7.9077058","111.46184542","0000-00-00 00:00:00","2020-04-10 20:43:04","0000-00-00 00:00:00"
"Dalam Observasi","82","KAB. PONOROGO","SIMAN","Madusari",""," ","","","","","Dirapatkan","-7.9025442"," 111.4524698","0000-00-00 00:00:00","2020-04-10 20:45:10","0000-00-00 00:00:00"
"Dalam Observasi","83","KAB. PONOROGO","KAUMAN","Somoroto","Balai Desa","Ds. Somoroto Kec. Kauman ","7 Orang","Ibu Suprihatin ,S IP","","","","-7,8698787","111,3926298","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","84","KAB. PONOROGO","KAUMAN","Maron",""," ","","","","","Dirapatkan","-7.8702587","111.3797982","0000-00-00 00:00:00","2020-04-10 20:47:59","0000-00-00 00:00:00"
"Dalam Observasi","85","KAB. PONOROGO","KAUMAN","Semanding","Balai Desa","Ds. Semanding Kec. Kauman ","9 Orang","Bapak Suparman","","","","-7,8878008","111,4058927","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","86","KAB. PONOROGO","KAUMAN","Nongkodono",""," ","","","","","Dirapatkan","-7.8992177","111.3978407","0000-00-00 00:00:00","2020-04-10 20:50:47","0000-00-00 00:00:00"
"Dalam Observasi","87","KAB. PONOROGO","KAUMAN","Ciluk",""," ","","","","","Dirapatkan","-7.8863647","111.4123327","0000-00-00 00:00:00","2020-04-10 20:52:49","0000-00-00 00:00:00"
"Dalam Observasi","88","KAB. PONOROGO","KAUMAN","Tosanan",""," ","","","","","Dirapatkan","-7.8881397","111.3911101","0000-00-00 00:00:00","2020-04-10 20:56:14","0000-00-00 00:00:00"
"Dalam Observasi","89","KAB. PONOROGO","KAUMAN","Carat",""," ","","","","","Dirapatkan","-7.8598112","111.4097553","0000-00-00 00:00:00","2020-04-10 20:59:29","0000-00-00 00:00:00"
"Dalam Observasi","90","KAB. PONOROGO","KAUMAN","Plosojenar","Balai Desa","Ds. Plosojenar Kec. Kauman ","8 Orang","Bapak Sutrisno","","","","-7,8732251","111,4080737","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","91","KAB. PONOROGO","KAUMAN","Tegalombo",""," ","","","","","Dirapatkan","-7.9015046","111.3923212","0000-00-00 00:00:00","2020-04-10 21:01:34","0000-00-00 00:00:00"
"Dalam Observasi","92","KAB. PONOROGO","KAUMAN","Kauman",""," ","","","","","Dirapatkan","-7.8562341","111.3935933","0000-00-00 00:00:00","2020-04-10 21:03:53","0000-00-00 00:00:00"
"Dalam Observasi","93","KAB. PONOROGO","KAUMAN","Gabel",""," ","","","","","Dirapatkan","-7.8807552","111.4161322","0000-00-00 00:00:00","2020-04-10 21:06:02","0000-00-00 00:00:00"
"Dalam Observasi","94","KAB. PONOROGO","KAUMAN","Pengkol",""," ","","","","","Dirapatkan","-7.8971868","111.4393397","0000-00-00 00:00:00","2020-04-10 21:08:00","0000-00-00 00:00:00"
"Dalam Observasi","95","KAB. PONOROGO","KAUMAN","Nglarangan",""," ","","","","","Dirapatkan","-7.9048836","111.4263332","0000-00-00 00:00:00","2020-04-10 21:09:45","0000-00-00 00:00:00"
"Dalam Observasi","96","KAB. PONOROGO","KAUMAN","Bringin",""," ","","","","","Dirapatkan","-7.9063263","111.4333623","0000-00-00 00:00:00","2020-04-10 21:12:16","0000-00-00 00:00:00"
"Dalam Observasi","97","KAB. PONOROGO","KAUMAN","Sukosari",""," ","","","","","Dirapatkan","-7.9131552","111.4135708","0000-00-00 00:00:00","2020-04-10 21:14:01","0000-00-00 00:00:00"
"Dalam Observasi","98","KAB. PONOROGO","KAUMAN","Ngrandu",""," ","","","","","Dirapatkan","-7.9019391"," 111.4126908","0000-00-00 00:00:00","2020-04-10 21:16:03","0000-00-00 00:00:00"
"Dalam Observasi","99","KAB. PONOROGO","SUKOREJO","Kalimalang",""," ","","","","","Dirapatkan","-7.8802921","111.4202454","0000-00-00 00:00:00","2020-04-10 21:18:04","0000-00-00 00:00:00"
"Dalam Observasi","100","KAB. PONOROGO","SUKOREJO","Kedung Banteng",""," ","","","","","Dirapatkan","-7.7836941","111.4068528","0000-00-00 00:00:00","2020-04-10 21:19:51","0000-00-00 00:00:00"
"Dalam Observasi","101","KAB. PONOROGO","SUKOREJO","Gandukepuh",""," ","","","","","Dirapatkan","-7.8600987","111.4282402","0000-00-00 00:00:00","2020-04-10 21:26:35","0000-00-00 00:00:00"
"Dalam Observasi","102","KAB. PONOROGO","SUKOREJO","Nambangrejo",""," ","","","","","Dirapatkan","-7.8531573","111.4347642","0000-00-00 00:00:00","2020-04-10 21:28:17","0000-00-00 00:00:00"
"Dalam Observasi","103","KAB. PONOROGO","SUKOREJO","Sukorejo",""," ","","","","","Dirapatkan","-7.8388371","111.4017143","0000-00-00 00:00:00","2020-04-10 21:30:04","0000-00-00 00:00:00"
"Dalam Observasi","104","KAB. PONOROGO","SUKOREJO","Gelang Lor",""," ","","","","","Dirapatkan","-7.8220476","111.4111368","0000-00-00 00:00:00","2020-04-10 21:32:02","0000-00-00 00:00:00"
"Dalam Observasi","105","KAB. PONOROGO","SUKOREJO","Serangan",""," ","","","","","Dirapatkan","-7.8041262","111.4195223","0000-00-00 00:00:00","2020-04-10 21:34:25","0000-00-00 00:00:00"
"Dalam Observasi","106","KAB. PONOROGO","SUKOREJO","Karanglo Lor",""," ","","","","","Dirapatkan","-7.8679502","111.4215348","0000-00-00 00:00:00","2020-04-10 21:36:11","0000-00-00 00:00:00"
"Dalam Observasi","107","KAB. PONOROGO","SUKOREJO","Golan",""," ","","","","","Dirapatkan","-7.8505851","111.4072627","0000-00-00 00:00:00","2020-04-10 21:37:51","0000-00-00 00:00:00"
"Dalam Observasi","108","KAB. PONOROGO","SUKOREJO","Nampan",""," ","","","","","Dirapatkan","-7.8325351","111.4184718","0000-00-00 00:00:00","2020-04-10 21:39:37","0000-00-00 00:00:00"
"Dalam Observasi","109","KAB. PONOROGO","SUKOREJO","Kranggan",""," ","","","","","Dirapatkan","-7.8325351","111.4184718","0000-00-00 00:00:00","2020-04-10 21:41:24","0000-00-00 00:00:00"
"Dalam Observasi","110","KAB. PONOROGO","SUKOREJO","Prajegan",""," ","","","","","Dirapatkan","-7.8017022","111.4083698","0000-00-00 00:00:00","2020-04-10 21:43:00","0000-00-00 00:00:00"
"Dalam Observasi","111","KAB. PONOROGO","SUKOREJO","Morosari",""," ","","","","","Dirapatkan","-7.8835242","111.4230347","0000-00-00 00:00:00","2020-04-10 21:44:46","0000-00-00 00:00:00"
"Dalam Observasi","112","KAB. PONOROGO","SUKOREJO","Lengkong",""," ","","","","","Dirapatkan","-7.8422331","111.4306987","0000-00-00 00:00:00","2020-04-10 20:21:37","0000-00-00 00:00:00"
"Dalam Observasi","113","KAB. PONOROGO","SUKOREJO","Gegeran",""," ","","","","","Dirapatkan","-7.8033472","111.3943383","0000-00-00 00:00:00","2020-04-10 21:48:02","0000-00-00 00:00:00"
"Dalam Observasi","114","KAB. PONOROGO","SUKOREJO","Bangunrejo",""," ","","","","","Dirapatkan","-7.8355342","111.3793969","0000-00-00 00:00:00","2020-04-10 21:50:38","0000-00-00 00:00:00"
"Dalam Observasi","115","KAB. PONOROGO","SUKOREJO","Sragi",""," ","","","","","Dirapatkan","-7.8814301","111.4228563","0000-00-00 00:00:00","2020-04-10 20:29:26","0000-00-00 00:00:00"
"Dalam Observasi","116","KAB. PONOROGO","SUKOREJO","Sidorejo",""," ","","","","","Dirapatkan","-7.8206621"," 111.3797839","0000-00-00 00:00:00","2020-04-10 20:31:54","0000-00-00 00:00:00"
"Dalam Observasi","117","KAB. PONOROGO","","Badegan",""," ","","","","","Dirapatkan","-7.8726042","111.3280733","0000-00-00 00:00:00","2020-04-10 20:33:59","0000-00-00 00:00:00"
"Dalam Observasi","118","KAB. PONOROGO","BADEGAN","Tanjunggunung",""," ","","","","","Dirapatkan","-7.8964486","111.3180054","0000-00-00 00:00:00","2020-04-10 21:53:49","0000-00-00 00:00:00"
"Dalam Observasi","119","KAB. PONOROGO","BADEKAN","Biting","Balai Desa","Ds. Biting Badegan ","8 Orang","Tatik. Amd. Keb","081252956303","","","-7,8735713","111,305369","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","120","KAB. PONOROGO","BADEGAN","Karangan",""," ","","","","","Dirapatkan","-7.9004126","111.2966233","0000-00-00 00:00:00","2020-04-10 21:56:11","0000-00-00 00:00:00"
"Dalam Observasi","121","KAB. PONOROGO","","Tanjungrejo",""," ","","","","","Dirapatkan","-7.9002046","111.3339743","0000-00-00 00:00:00","2020-04-10 20:48:57","0000-00-00 00:00:00"
